date,value
2025-08-10,24428.0
2025-08-11,50503.0
2025-08-12,21649.0
2025-08-13,19296.0
2025-08-14,17750.0
2025-08-15,19166.0
2025-08-16,17696.0
2025-08-17,18908.0
2025-08-18,18842.0
2025-08-19,17652.0
2025-08-20,18733.0
2025-08-21,17050.0
2025-08-22,18202.0
2025-08-23,17015.0
2025-08-24,18344.0
2025-08-25,18180.0
2025-08-26,16904.0
2025-08-27,18420.0
2025-08-28,23220.0
2025-08-29,76097.0
2025-08-30,64125.0
2025-08-31,25363.0
2025-09-01,25434.0
2025-09-02,22522.0
2025-09-03,25682.0
2025-09-04,23645.0
2025-09-05,22216.0
2025-09-06,42789.0
2025-09-07,47944.0
2025-09-08,15268.0
2025-09-09,20182.0
2025-09-10,71269.0
2025-09-11,55617.0
2025-09-12,22119.0
2025-09-13,25811.0
2025-09-14,51741.0
2025-09-15,25566.0
2025-09-16,25567.0
2025-09-17,18972.0
2025-09-18,45848.0
2025-09-19,14665.0
2025-09-20,52178.0
2025-09-21,43819.0
2025-09-22,43360.0
2025-09-23,37299.0
2025-09-24,30398.0
2025-09-25,39806.0
2025-09-26,23380.0
2025-09-27,40794.0
2025-09-28,67071.0
2025-09-29,82443.0
2025-09-30,23381.0
2025-10-01,28729.0
2025-10-02,46889.0
2025-10-03,25075.0
2025-10-04,24277.0
2025-10-05,32661.0
2025-10-06,51794.0
2025-10-07,27222.0
2025-10-08,26286.0
2025-10-09,44384.0
2025-10-10,35102.0
2025-10-11,32581.0
2025-10-12,28218.0
2025-10-13,37708.0
2025-10-14,36869.0
2025-10-15,48278.0
2025-10-16,42375.0
2025-10-17,27461.0
2025-10-18,27431.0
2025-10-19,95060.0
2025-10-20,35482.0
2025-10-21,50297.0
2025-10-22,26342.0
2025-10-23,30717.0
2025-10-24,35331.0
2025-10-25,31675.0
2025-10-26,55632.0
2025-10-27,34234.0
2025-10-28,28541.0
2025-10-29,23908.0
2025-10-30,43072.0
2025-10-31,26980.0
2025-11-01,22580.0
2025-11-02,30578.0
2025-11-03,58634.0
2025-11-04,30544.0
